codigoItem;descricaoItem
1101;OMALIZUMABE 150 MG - PO PARA SOLUCAO INJETAVEL
1102;ONDANSETRONA 4MG
1103;ONDANSETRONA 8MG
1104;OXCARBAZEPINA 300MG (PORT. 344/98 - C1)
1105;OXCARBAZEPINA 60MG/ML SUSP ORAL 100ML(PORT. 344/98 - C1)
1105;OXCARBAZEPINA 6% SUSPENSAO ORAL (PORT. 344/98 - C1)
1106;OXIBUTININA CLORIDRATO 5MG
1111;PACLITAXEL 6MG/ML 16,7ML (100MG) SOL INJ
1112;PACLITAXEL 150MG
1113;PACLITAXEL 6MG/ML 50ML (500MG)
1116;PANTOPRAZOL 40MG
1118;PARACETAMOL 500 MG
1118;PARACETAMOL 500MG
1122;PAROXETINA CLORIDRATO 20 MG (PORT. 344/98 - C1)
1127;PERICIAZINA 1% SOL ORAL 20ML
1143;POLIESTIRENOSSULFONATO DE CALCIO 900MG 30G
1151;PRASUGREL 10MG
1158;PROMETAZINA CLORIDRATO  25MG
1159;PROPATILNITRATO 10 MG
1166;QUETIAPINA (HEMIFUMARATO) 100 MG
1167;QUETIAPINA (HUMIFUMARATO) 25 MG
1168;QUETIAPINA 200MG
1170;RALOXIFENO DE CLORIDRATO 60MG
1177;RISEDRONATO 35MG
1179;RISPERIDONA 1MG COMP (PORT. 344/98 - C1)
1180;RISPERIDONA 2MG COMP (PORT. 344/98 - C1)
1181;RISPERIDONA 3MG COMP)(PORT. 344/98 - C1)
1182;RIVAROXABANA 15MG
1183;RIVAROXABANA 20MG
1190;SALBUTAMOL 100MCG SPRAY 200 DOSES
1193;SERTRALINA CLORIDRATO 50 MG COMP REVESTIDO (PORT. 344/98 - C1)
1194;SILDENAFILA 20 MG
1199;SINVASTATINA 20MG
1200;BENZILPENICILINA BENZATINA 1.200.000 FRASCO AMPOLA
1201;SIROLIMO 1MG
1203;HIDROXIETILAMIDO 6% FRASCO 500 ML - SOLUCAO PARA INFUSAO INTRAVENOSA
1206;SOLUCAO DE GLICOSE 5% FRASCO 1000ML - SISTEMA FECHADO
1207;SOLUCAO DE GLICOSE 10% FRASCO 250ML - SISTEMA FECHADO
1208;SOLUCAO DE GLICOSE 5% SOLUCAO INJETAVEL FRASCOBOLSA 1000ML
1211;SOLU��O PARA PERFUS�O E PRESERVA��O DE ORG�OS (HISTIDINA + TRIPTOFANO + ALFACETOGLUTARATO)
1220;SULFADIAZINA DE PRATA, (10 MG/G) 1%, CREME DERMATOLOGICO
1221;SULFADIAZINA DE PRATA, (10 MG/G) 1%, CREME DERMATOLOGICO
1222;SULFAMETOXAZOL 400MG TRIMETOPRIMA 80MG
1227;TACROLIMO 1MG
1228;TACROLIMO 5MG
1230;TEICOPLANINA 200 MG - PO LIOFILIZADO PARA SOLUCAO INJETAVEL
1231;TEMOZOLOMIDA 250MG
1232;TEMOZOLOMIDA 100MG
1233;TENECTEPLASE 40 MG + DILUENTE 8 ML - PO LIOFILIZADO PARA SOLUCAO INJETAVEL
1241;TIAMAZOL 5MG (TAPAZOL)
1246;TIMOLOL MALEATO, 5 MG/G (0,5%), SOLUCAO OFTALMICA
1246;TIMOLOL (MALEATO) 5MGML SOLUCAO OFTALMICA FRASCO 5ML
1247;TIOGUANINA 40 MG - COMPRIMIDO
1251;TOBRAMICINA 03% COLIRIO 5ML
1253;TOPIRAMATO 100MG COMP (PORT. 344/98 - C1)
1254;TOPIRAMATO 25MG COMP (PORT. 344/98 - C1)
1255;TOPIRAMATO 50MG COMP(PORT. 344/98 - C1)
1256;TRAMADOL 50 MG (PORT. 344/98 - A2)
1259;TRIOXIDO DE ARSENIO 1MGML 10ML
1262;VALGANCICLOVIR 450 MG
1265;VARFARINA SODICA 5MG
1272;VIGABATRINA 500 MG (SABRIL) (PORT.344/98-C1)
1272;VIGABATRINA 500 MG (SABRIL)
1273;VIMBLASTINA 10MG/ML 10ML
1274;VINCRISTINA (SULFATO), 1MG/ML SOLU��O INJETAV�L FRASCO AMPOLA
1275;VINORELBINA 10 MG/ ML FRASCO AMPOLA 5 ML - SOLU��O INJET�VEL
1277;EVEROLIMO 0,5MG COMPRIMIDO
1279;VORICONAZOL 200MG
1282;ZOLPIDEM 10MG
1288;AGULHA DESCARTAVEL 25X06
1289;BROCA PONTA DIAMANTADA PARA ALTA ROTACAO FG 1016 ESFERICA
1290;AGULHA DESCARTAVEL 25X08
1291;BROCA PEESO COM PONTA INATIVA EM ACO N 1070 28 MM
1292;AGULHA DESCARTAVEL 30X08
1293;BROCA PEESO COM PONTA INATIVA EM ACO N 2090 28MM
1294;BROCA PEESO COM PONTA INATIVA EM ACO N 2090 32MM
1295;BROCA PEESO COM PONTA INATIVA EM ACO N 4130 32MM
1296;BROCA PONTA DIAMANTADA PARA ALTA ROTA��O FG  4124
1297;BROCA PONTA DIAMANTADA PARA ALTA ROTACAO FG4102
1300;CLAMP PARA BOLSAS DREN�VEIS REF- 8770 (HOLLISTER)
1308;INCUBADORA  DE LEITURA RAPIDA FLUORIMETRICA DE INDICADORES BIOLOGICOS
1308;INCUBADORA BIONOVA FLUORESCENTE MODELO: IC1020FR
1312;FITA HIPOALERGENICA MICROPOROSA 25CM X 10M (MAXICOR)
1326;TIRAS REATIVAS PARA GLICEMIA ACCU - CHEK TUBO C 50 TIRAS (J
1337;FRALDA DESCARTAVEL GERIATRICA PEQUENA 30 A 40KG
1338;FRALDA DESCARTAVEL GERIATRICA MEDIA 40 A 70KG
1339;FRALDA DESCARTAVEL GERIATRICA GRANDE 70 A 90KG
1340;FRALDA DESCARTAVEL GERIATRICA EXTRA GRANDE ACIMA 90KG
1341;FRALDA DESCARTAVEL PEDIATRICA PP 0 A 3KG
1360;CABO PARA ESPELHO
1361;CIMENTO INTERMEDIARIO KIT COM UM PO E UM LIQUIDO (IRM)
1366;CERA ODONTOLOGICA EM LAMINA ROSA N�7 (CAIXA COM 18 LAMINAS)
1374;SERINGA DESCARTAVEL S/AGULHA BICO LUER SLIP 03ML
1385;LUVA PARA PROCEDIMENTO ISENTA DE LATEX E ISENTA DE P� TAMANHO P (NITRILICA)
1388;COLETOR PARA MATERIAL PERFURO CORTANTE COM CAPACIDADE DE 13
1393;COLCH�O PERFILADO TIPO CAIXA DE OVO
1394;PROTETOR PARA COLCHAO CAIXA DE OVO 190X90X07CM
1395;CONJUNTO MICRONEBULIZADOR PARA AEROSOLTERAPIA ADULTO EM AR COMPRIMIDO
1397;CONJUNTO MICRONEBULIZADORPARA AEROSOLTERAPIA INFANTIL EM AR COMPRIMIDO
1399;ELETRODO DESCARTAVEL PARA MONITORIZA��O CARDIACA NEONATAL
1400;ELETRODO DESCARTAVEL PARA MONITORIZA��O CARDIACA INFANTIL
1402;ELETRODO (PLACA DE MARCAPASSO EXTERNO) DESCARTAVEL PEDIATRICO COM DESFIBRILADOR PHILIPS
1403;ELETRODO (PLACA DE MARCAPASSO EXTERNO) DESCARTAVEL ADULTO C/DESFIBRILADOR PHILIPS
1410;ELETRODO DESCARTAVEL DE FIBRA DE CARBONO ATIVADO PARA ERGOMETRIA ADULTO
1432;FRALDA DESCARTAVEL GERIATRICA MEDIA 40 A 70KG (MASTER CARE P
1441;FITA HIPOALERGENICA MICROPOROSA 25CMX10 M
1459;FIXADOR TRAQUEOSTOMO PEDIATRICO ACOLCHOADO
1465;GESSO PEDRA TIPO III BRANCO (1KG)
1469;FRALDA DESCARTAVEL GERIATRICA G 70 A 90KG (TENA CONFORT) PCT
1470;ATADURA DE CREPOM 10CM
1475;FRALDA DESCARTAVEL GERIATRICA EXTRA GRANDE ACIMA DE 90KG (BI
1479;PROTETOR CUTANEO EM FORMA DE SPRAY 28ML (CAVILON)
1483;ATADURA DE BORRACHA SMARCH 15CM X 2 A 3M
1485;DISPOSITIVO MASCULINO PARA INCONTINENCIA URINARIA 2 PECAS 35
1497;DIETA PARA TRATAMENTO DE LEUCINOSE - CRIANCAS ACIMA DE 1 ANO
1498;COMPRESSA DE GAZE 7,5 X 7,5 11FIOS PCT COM 10 UND
1499;COMPRESSA DE GAZE 7,5 X 7,5 13 FIOS COM FIO RADIOPACO - PCT COM 10 UND
1503;COMPRESSA TIPO CAMPO OPERATORIO 23CM X 25CM PCT C50 UND
1505;COMPRESSA TIPO CAMPO OPERATORIO ESTERIL 10CM X 9CM/9G
1511;DIETA PARA FENILCETONURIA CRIANCAS A PARTIR DE 8 ANOS- PKU 3
1512;DIETA PARA EPILEPSIA REFRATARIA DEFICIENCIA DO COMPLEXO PIRU
1515;DIETA PARA TIROSINEMIA ACIMA DE 1 ANO XPT (MAXAMAID), ( TYROMED B PLUS)
1516;CAMPO O INTERNO ABSORVENTE - TAMANHO 60CM X 60CM
1523;DIETA PARA ACIDURIA GLUTARICA TIPO 1 CRIANCA ACIMA DE 1 ANO-
1525;CATETER PARA OXIGENIO DESCARTAVEL N 04
1528;CATETER PARA OXIGENIO DESCARTAVEL N� 10
1531;DIETA PARA ACID�RIA ORG�NICA CRIAN�A ACIMA DE 1 ANO - OAC MED B PLUS/XMTVI MAXAMAID
1540;DIETA PARA HIPERLEUCINEMIA CRIANCAS ACIMA DE 12 MESES LATA (LEUMED B)
1542;FORMULA PARA DISTURBIO DO CICLO DA UREIA MAIORES DE 1 ANO- U
1545;VALVULA REGULADORA DE PRESSAO PARA REDE DE AR COMPRIMIDO
1546;AGULHA DESCARTAVEL PARA CANETA DE INSULINA 5 MM
1547;CATETER PARA ACESSO VENOSO CENTRAL PEDIATRICO 18GA X 20CM APROXIMADAMENTE (4FR) MONO LUMEN
1569;SERINGA DESCARTAVEL S/AGULHA BICO LUER SLIP 05ML
1574;CIMENTO CIRURGICO PERIODONTAL SEM EUGINOL
1575;CIMENTO A BASE DE HIDR�XIDO DE C�LCIO RADIOPACO PARA PROTE��O PELPAR
1597;FORMULA ANTI-REGURGITACAO - NAN AR /NAN ESPESSAR  APTAMIL AR
1597;FORMULA ANTI-REGURGITACAO - NAN AR  APTAMIL AR
1606;VIGABATRINA 500 MG
1608;PENTOXIFILINA 400 MG
1609;PIRAZINAMIDA 500 MG
1612;CLORIDRATO DE MINOCICLINA 100 MG
1614;FUMARATO DE FORMOTEROL 12 MCG CAP INAL
1615;BUDESONIDA 200 MCG CAP INAL
1616;FORMULA INFANTIL 0 A 1 ANO PARA BAIXO PESO OU RESTRICAO HIDR
1618;AGULHA 32G X 4MM X 0,23MM
1619;PENICILAMINA 250 MG
1625;CANULA TRAQUEOSTOMIA DESCART�VEL COM BAL�O 6.5
1626;CANULA TRAQUEOSTOMIA DESCARTAVEL COM BALAO 7.0
1628;CANULA TRAQUEOSTOMIA DESCART�VEL COM BAL�O 7.5
1629;CANULA TRAQUEOSTOMIA DESCARTAVEL COM BALAO 8.0
1630;FORMULA INFANTIL SEM LACTOSE PARA LACTANTES E CRIAN�AS DE 0 A 36 MESES COM ALERGIA A PROTEINA DO LEITE DE VACA
1631;CANULA DE TRAQUEOSTOMIA DESCARTAVEL N� 8,5 COM BALAO
1653;FORMULA PARA INTOLERANCIA A LACTOSE - NAN SEM LACTOSE  APTA
1660;FORMULA INFANTIL DE SEGUIMENTO COM FIBRA - APTAMIL 2 NAN CO
1661;DIETA INFANTIL NORMOCALORICA E NORMOPROTEICA (1 A 10 ANOS) L
1662;DIETA INFANTIL HIPERCALORICA E NORMOPROTEICA (1 A 10 ANOS)-
1667;COMPOSTO LACTEO CRIANCA A PARTIR 3 ANOS -MILNUTRI NINHO 3
1672;FORMULA INFANTIL DE SEGUIMENTO COM FIBRAS - NAN COMFOR 3APT
1674;SUPLEMENTO PARA APLV LATA 400 G - NEOFORTE
1676;DIETA POLIMERICA INFANTIL SISTEMA FECHADO -NUTRINI STANDARD
1684;INDICADOR BIOLOGICO EM PACOTE TESTE DESAFIO
1685;NUTRINI PEPTI PACK 500 ML (DANONE)
1689;DIETA NORMOCALORICA E NORMOPROTEICA A BASE DE PROTEINA DE SO
1690;DIETA OLIGOMERICA LATA 400 G - PEPTAMEN PEPTIMAX
1708;FORMULA INFANTIL DE PARTIDA COM FIBRA - NAN COMFOR 1  APTAM
1711;DIETA HIPERCALORICA E NORMOPROTEICA SEM FIBRA - NUTRI ENTERAL
1713;DIETA ENTERAL LIQUIDA POLIMERICA SISTEMA ABERTO HIPERCALORIC
1716;DIETA ENTERAL LIQUIDA NORMOCALORICA E NORMOPROTEICA A BASE DE PROTEINA DE SOJA COM FIBRAS (ISOSOURCE SOYA FIBER / NUTRI ENTERAL SOYA FIBER)
1716;DIETA NORMOCALORICA NORMOPROTEICA A BASE DE PROTEINA DE SOJA
1718;DIETA NORMO NORMO A BASE DE PROTEINA DE SOJA 1 LITRO - ISOSO
1720;DIETA ENTERAL LIQUIDA PARA CONTROLE GLICEMICO NORMOCALORICA E NORMOPROTEICA (NUTRISON ADVANCED DIASON / DIANUTRI / NOVASOURCE GC / DIAMAX)
1720;DIETA ENTERAL PARA CONTROLE GLICEMICO, 1000 ML
1723;DIETA HIPERCALORICA E NORMOPROTEICA COM FIBRAS - ISOSOURCE M
1724;MODULO EM PO MIX DE FIBRAS ALIMENTARES SOLUVEL E INSOLUVEL (NEO FIBER / STIMULANCE MF6 / ENTERFIBER / FSI EREMIX / BEMVITAL MULTIFIBRAS)
1724;MODULO DE FIBRAS ALIMENTARES- NUTRI FIBRA FIBER MIXNEO FIBE
1725;MODULO DE FIBRAS SIMBIOTICO - SIMBIOFLORA
1726;MODULO DE FIBRAS SOLUVEIS FIBER MAIS NESH FIBRAS SOLUFIBER S
1728;ESPESSANTE ALIMENTAR LATA 225 G - SUSTAP
1730;FRESUBIN 5KCAL SHOT DRINK 120ML
1732;MODULOS DE TCM FRASCO -TCM COM AGE MCT
1734;MODULO DE ALBUMINA POTE - ALBUMINA
1735;DIETA MODULO DE GLUTAMINA - GLUTAMI
1749;EQUIPO MACROGOTAS FOTOSSENSIVEL
1750;EQUIPO PARENTERAL PARA BOMBA DE INFUS�O (INTRAFIX COMPACT AIR)
1751;EQUIPO NUTRICAO ENTERAL - PARA BOMBA DE INFUS�O (ENTERALFIX AIR TK)
1752;EQUIPO PARENTERAL ISENTO DE PVC - PARA BOMBA DE INFUSAO (INTRAFIX COMPACT AIR IL PVC FREE)
1753;EQUIPO MICROGOTAS COM BURETA 150 ML A 200 ML
1754;SUPLEMENTO PARA DOENCA DE CROHN LATA 400 G- MODULEN
1756;AVENTAL DESCARTAVEL SEM MANGAS TAMANHO UNICO
1759;AVENTAL CIRURGICO ESTERIL DE USO UNICO C BARREIRA DE PROTEC
1763;PROTETOR DE CABELOS MASCULINO (GORRO)
1765;MASCARA DESCARTAVEL COM ELASTICO - FIXACAO AURICULAR
1767;SUPLEMENTO HIPERCALORICO E HIPERPROTEICO - FRESUBIN 2 KCAL D
1768;LENCOL DESCARTAVEL 120CM X 100CM
1769;SUPLEMENTO LIQUIDO 200 ML - NUTREN 1.5 ENSURE PLUS  ENERGY
1769;SUPLEMENTO LIQUIDO 200 ML - NUTREN 15 ENSURE PLUS  ENERGY
1770;LENCOL DE PAPEL DESCARTAVEL 50CM X 50MTS
1771;SUPLEMENTO HIPERCALORICO E NORMOPROTEICO COM FIBRAS- NUTREN
1772;DISPOSITIVO PARA IRRIGA��O DE FERIDAS E DE CAMPOS CIRURGICOS
1773;EQUIPO MACROGOTAS FOTOSSENSIVEL PARA BOMBA DE INFUSAO (INTRAFIX COMPACT AIR FS)
1776;EQUIPO PARA DIETA ENTERAL - MACROGOTAS SEM FILTRO
1778;EQUIPO COPO GRADUADO MACROGOTAS (BURETA) PARA ADMINISTRACAO DE SOLUCOES PARENTERAIS
1779;SUPLEMENTO PARA PORTADORES DE DOENCA RENAL CRONICA EM TRATAM
1781;EQUIPO PARA MONITORIZA��O DA PRESS�O VENOSA CENTRAL (PVC)
1783;SUPLEMENTO NORMOCALORICO E NORMOPROTEICO LATA 400 G - ENSURE
1786;SUPLEMENTO ALIMENTAR PARA PACIENTES COM DOENCA DE ALZHEIMER-
1787;EXTENSOR / PERFUSOR FOTOSSENSIVEL 120CM
1788;EXTENSOR / PERFUSOR TRANSPARENTE 120CM
1789;EXTENSOR / PERFUSOR TRANSPARENTE 20CM
1790;EXTENSOR / PERFUSOR 40CM
1791;EXTENSOR / PERFUSOR 60CM
1792;EXTENSOR 120CM - TUBO FOTOSENSIVEL
1793;EXTENSOR 120CM - TUBO TRANSPARENTE FLEXIVEL CONECTOR LUER LOCK
1794;EXTENSOR 20CM - TUBO TRANSPARENTE FLEXIVEL CONECTOR LUER LOCK
1795;EXTENSOR 40CM - TUBO TRANSPARENTE FLEXIVELCONECTOR LUER LOCK
1796;EXTENSOR 60CM - TUBO TRANSPARENTE FLEXIVEL CONECTOR LUER LOCK
1797;EXTENSOR / PERFUSOR TRANSPARENTE 2 VIAS 20CM
1800;SUPLEMENTO PARA RENAL CRONICA EM TRAT DIALITICO 200 ML - NUT
1804;DIETA ENTERAL HIPERCALORICA E HIPERPROTEICA SISTEMA FECHADO-
1819;DIETA PARA CICATRIZACAO DE ULCERA DE PRESSAO NUTRISON ADVANC
1827;SUPLEMENTO PRE E POS - OPERATORIO - IMPACT 200ML
1843;DIETA HIPERCALORICA E NORMOPROTEICA COM FIBRAS- NUTRI FIBER 1.5
1845;ACRILICO TERMOPOLIMERIZAVEL 1000ML
1846;FRASCO PARA DIETA ENTERAL 100ML
1848;FRASCO PARA DIETA ENTERAL - 500 ML
1864;SONDA FOLEY SILICONE 02 VIAS C/BALAO N� 06
1865;SONDA FOLEY SILICONE 02 VIAS CBALAO N 22
1881;SONDA FOLEY SILICONE 02 VIAS C/BALAO N� 20
1882;SONDA FOLEY SILICONE 02 VIAS C/BAL�O N� 24
1886;ARCO PRE-CONTORNADO NITI SUPER ELASTICO INFERIOR 018 X 045 M
1887;BROCA EM CARBONETO DE TUNGSTENIO CARBIDE BURS ENDO Z-K
1891;BROCA CARBIDE PARA BAIXA ROTACAO BATT N 12 28MM
1892;BROCA CARBIDE PARA BAIXA ROTACAO BATT N16 28MM
1894;BROCA EM ACO CARBONO ESFERICA N2 PARA BAIXA ROTACAO
1895;SONDA URETRAL N 04
1897;SONDA URETRAL N 08
1898;SONDA URETRAL N 10 (JUDICIAL)
1899;SONDA URETRAL N 12 (MARKMED)- DEMANDA JUDICIAL
1900;SONDA URETRAL N 14
1901;SONDA URETRAL N 16
1917;BROCA EM ACO CARBONO ESFERICA N3 PARA BAIXA ROTACAO
1924;SONDA PARA ASPIRA��O TRAQUEAL N� 20
1925;SONDA PARA ASPIRA��O TRAQUEAL N� 22
1926;SONDA PARA ASPIRA��O TRAQUEAL N� 24
1935;SONDA ESTOMACAL (NASOGASTRICA) CURTA N 12
1936;SONDA ESTOMACAL (NASOGASTRICA) CURTA N 14
1938;SONDA ESTOMACAL (NASOGASTRICA) CURTA N 18
1948;SONDA ESTOMACAL (NASOGASTRICA) LONGA N 22
1953;SERINGA DESCARTAVEL PARA INSULINOTERAPIA (COM ESPACO MORTO ZERO) 1ML 100UI AGULHA 13X03MM
1959;SERINGA DE 7ML PARA PERDA DE RESISTENCIA
1964;SERINGA DESCARTAVEL S/AGULHA BICO LUER SLIP 60ML
1973;DETERGENTE ENZIMATICO LITRO
2053;CARGA PARA GRAMPEADOR ENDOSCOPICO LINEAR CORTANTE 60MM - 10M
2054;CARGA PARA GRAMPEADOR LINEAR CORTANTE 75MM OU 80MM - 15MM (AZUL)
2055;PREDNISONA 5MG COMPRIMIDO
2062;GRAMPEADOR CIRCULAR CURVO 25MM
2063;GRAMPEADOR CIRCULAR CURVO 28MM OU 29MM
2064;GRAMPEADOR CIRCULAR CURVO 31MM OU 33MM
2065;GRAMPEADOR CIRCULAR CURVO 33MM OU 34MM
2066;GRAMPEADOR CURVO CORTANTE 40MM
2070;GRAMPEADOR LINEAR CORTANTE 60 MM
2071;GRAMPEADOR LINEAR CORTANTE 75MM OU 80MM
2104;BROCA EM ACO CARBONO ESFERICA N�5/28MM PARA BAIXA ROTACAO
2105;BROCA EM ACO CARBONO ESFERICA N06 PARA BAIXA ROTACAO
2117;APARELHO TRICOTOMIZADOR ELETRICO
2118;CARREGADOR PARA TRICOTOMIZADOR
2119;DACARBAZINA 200MG P� LIOFILIZADO PARA SOLU��O INJET�VEL
2120;DISPENSADOR PARA ALCOOL GEL REFIL 800 ML
2122;TELA CIRURGICA PROCEED 20 X 30
2132;SUGADOR DESCARTAVEL (PCT C40 UND)
2135;BARREIRA PROTETORA PARA OSTOMIA EM FORMA DE PLACA 20 X 20 REF- 3220 (COLOPLAST )
2195;FLUCONAZOL 150MG
2196;BROCA EM ACO CARBONO ESFERICO N�7/28MM PARA BAIXA ROTACAO
2197;BROCA EM ACO CARBONO N8 PARA BAIXA ROTACAO ESFERICA
2199;BROCA CARBIDE PARA BAIXA ROTACAO BATT N14 28MM
2200;BROCA GATES N�1/50 - 28MM
2201;BROCA GATES N�1/50 - 32MM
2202;BROCA GATES N�2/70 - 28MM
2203;BROCA GATES N�2/70 - 32MM
2204;BROCA GATES  N�3/90 - 28MM
2205;BROCA GATES N�03/90 - 32MM
2206;BROCA GATES N�4/110 - 28MM
2207;BROCA GATES N�4/110 - 32MM
2208;BROCA GATES N�5/130 - 28MM
2209;BROCA GATES N�5/130 - 32MM
2210;BROCA GATES N�06/150 - 28MM
2211;BROCA GATES N�6/150 - 32MM
2220;FRALDA DESCARTAVEL GERIATRICA GXG ROUPA INTIMA - PLENITUDE
2233;BROCA PEESO COM PONTA INATIVA EM ACO N1070 - 32MM
2235;BROCA PEESO COM PONTA INATIVA EM ACO N3110 - 28MM
2237;BROCA PEESO COM PONTA INATIVA EM ACO N3110 - 32MM
2239;BROCA PEESO COM PONTA INATIVA EM ACO N4130 - 28MM
2294;SENSOR PARA MEDICAO DE NIVEL DE CONSCIENCIA CEREBRAL ADULTO
2297;ACETATO DE GOSSERRELINA 10,8 MG
2303;CATETER CENTRAL DE INSERCAO PERIFERICA - PICC 3FR (PONTA FECHADA)
2306;SISTEMA ASPIRACAO TRAQUEAL FECHADO PTUBO ENDOTRAQUEAL 30 E
2313;TAMBOREL DE PLASTICO SEM REFIL AZUL
2315;TESOURA CIRCULAR FECHADA COAGULADORA PARA VASOS DE DIAMETRO ATE 5MM HASTES 36CM A 45CM
2316;TESOURA CIRCULAR ABERTA COAGULADORA PARA VASOS DE DIAMETRO ATE 5MM HASTES DE 9CM A 23CM
2326;CATETER CENTRAL DE INSERCAO PERIFERICA - PICC 4FR (PONTA FECHADA)
2328;SISTEMA ASPIRACAO TRAQUEAL FECHADO P/TUBO ENDOTRAQUEAL 70 E 75 - 14 FR
2336;CONE GUTA PERCHA PRINCIPAL 2 SERIE 45 A 80
2337;GESSO ESPECIAL TIPO V
2338;ZETALABOR EM SILICONE PARA CONFECCAO DE MURALHAS 900G
2339;ACIDO FOSFORICO CONDICIONADOR 37% GEL 25 ML
2340;OXALIPLATINA 100 MG - P� LIOFILIZADO PARA SOLU��O INJET�VEL
2341;PACLITAXEL 30MG
2344;BABADOR IMPERMEAVEL DESCARTAVEL USO ODONTOLOGICO
2347;KIT IONOMERO DE VIDRO AUTOPOLIMERIZAVEL PARA RESTAURACAO
2348;FLUOR GEL ACIDULADO
2349;SOLU��O HEMOSTATICA 10ML
2350;MATERIAL DE MOLDAGEM PASTA PARA IMPRESSAO A BASE DE OXIDO DE
2354;FIO ORTODONTICO PARA AMARRILHO 50G 0,10=0,25MM 130M
2355;FIO ORTODONTICO EM VARETAS TMA 016 X 0,16
2356;ARCO INTRAORAL PRE-CONTORNADO NITI INFERIOR 016 X 022
2359;ARCO PRE-CONTORNADO NITI SUPER ELASTICO INFERIOR 019 X 025 M
2361;FIO ORTODONTICO EM VARETAS TMA RETANGULAR 16 X 22
2362;BOLSA TRICOMPARTIMENTADA 800 A 1400 KCAL
2363;BOLSA TRICOMPARTIMENTADA 1900 KCAL
2364;ARCO INTRAORAL PRE-CONTORNADO NITI 017 X 025
2369;ARCO INTRAORAL PRE CONTORNADO NITI INFERIOR MEDIO 016 OU 0,40MM
2371;FIO ORTODONTICO PARA AMARRILHO 50 G 0,12=0,30MM 90M
2372;FIO ORTODONTICO EM VARETAS QUADRADO TMA 0,16 X 0,16 =0,40MM
2373;FIO ORTODONTICO EM VARETAS QUADRADO PONTA AZUL ELGILOY COCR
2375;FIO EM VARETAS ACO INOX STANDARD REDONDO CRNI 040 X 100 MM 3
2377;FIO EM VARETAS ACO INOX INOXIDAVEL STANDARD RETANGULAR CRNI
2379;FIO EM VARETAS ACO INOX INOXIDAVEL STANDARD RETANGULAR CRNI
2384;ACRILICO AUTOPOLIMERIZAVEL PARA PROVISORIOS (COR 62) 30ML
2385;ACRILICO AUTOPOLIMERIZAVEL PARA PROVISORIOS (COR 66) 30ML
2386;ACRILICO AUTOPOLIMERIZAVEL PARA PROVISORIOS (COR 67) - 30ML
2387;ACRILICO AUTOPOLIMERIZAVEL PARA PROVISORIOS (COR 69) - 30ML
2388;AGULHA DESCARTAVEL GENGIVAL LONGA 30 X 0,40 27G
2389;AGULHA DESCARTAVEL GENGIVAL CURTA 22 X 0,30 30G
2390;BRAQUETE DENTE 25 ROTH - PRE MOLAR SUPERIOR ESQUERDO (U45L -
2393;BRAQUETE ROTH (L3-RX) DENTE 43 SLOT 022 COM GANCHO
2397;ARCO INTRAORAL PRE-CONTORNADO NITI SUPERIOR 016 X 022
2398;PASTA PROFILATICA 90G
2400;ESPATULA PARA CERA N7 - ODONTO
2402;RESINA PARA RESTAURACOES DIRETAS DENTES ANTERIORES E POSTERI
2403;RESINA PARA RESTAURA��ES DIRETAS FOTO NANOPARTICULADA -  COR A3B
2404;RESINA FOTOPOLIMERIZ�VEL NANOPARTICULADA PARA RESTAURA��ES DIRETAS - COR EA1
2405;RESINA COMPOSTA PARA RESTAURA��ES DIRETAS E EM DENTES ANTERIORES E POSTERIORES NANOPARTICULADAS NA COR A2E ESMALTE
2406;RESINA PARA RESTAURACOES DIRETAS DENTES ANTERIORES E POSTERI
2407;CIMENTO PROVISORIO COMPOSICAO OXIDO DE ZINCO
2408;CONE GUTA PERCHA PRINCIPAL 1 - SERIE 15 A 40
2409;CONE GUTA PERCHA ACESSORIO R5-M
2410;CONE GUTA PERCHA ACESSORIO R8-FF
2411;CONE GUTA PERCHA ACESSORIO R3-F
2412;CONE GUTA PERCHA ACESSORIO RS-SORTIDO
2413;CONE GUTA PERCHA ACESSORIO R4-FM
2414;CONE GUTA PERCHA ACESSORIO R1-MF
2415;CONE GUTA PERCHA ACESSORIO R7-XF
2422;TUBO ENDOTRAQUEAL S/ BALAO 3,5
2433;KIT AGENTE DE UNIAO MULTIUSO COM FLUOR FOTOPOLIMERIZAVEL MON
2434;CATETER CENTRAL DE INSERCAO PERIFERICA - PICC 5FR (PONTA FECHADA)
2437;SISTEMA OCLUSOR ESTOMA 20 A  45MM - REF 1485 (COLOPLAST)
2474;CATETER DE OXIMETRIA CONTINUA TRIPLO LUMEN
2491;SULFATO DE ABACAVIR 20 MG/ 240 ML - SOLUCAO ORAL
2502;EFAVIRENZ 30 MG/ML SOLU��O ORAL 180 ML
2517;RITONAVIR 100 MG
2555;ALFAEPOETINA 10.000UI
2558;PERFURADOR LENCOL DE BORRACHA
2559;PINCA CLINICA PARA ALGODAO N 317
2562;CARGA PARA GRAMPEADOR LINEAR 45MM, FECHAMENTO DE 0,7MM A 1,2MM
2563;CARGA PARA GRAMPEADOR LINEAR 45MM, FECHAMENTO DE 1,5MM A 1,9MM
2564;GRAMPEADOR LINEAR CORTANTE 45MM - (ARTICULADO  LONGO - OBES
2565;GLICLAZIDA 60MG COMP. DE LIB. PROL.
2569;DISPOSITIVO MASCULINO INCONTINENCIA URINARIA 1 PECA LATEX -
2578;GESSO COMUM -1KG
