codigo	descricao	marca	__v
79	FENTANILA 50 MCG/ML AMPOLA 2ML  (PORT. 344/98 - A1)	indiferente	0
80	FENTANILA 50 MCG/ML FRASCO AMPOLA 10ML  (PORT. 344/98 - A1)	indiferente	0
82	FITOMENADIONA 10 MG/ ML AMPOLA 1 ML - SOLUCAO INJETAVEL (INTRAMUSCULAR)	indiferente	0
84	FONDAPARINUX SODICO 25MG05ML	indiferente	0
85	FUROSEMIDA 10MGML 2ML	indiferente	0
86	GANCICLOVIR 1MGML 250ML	indiferente	0
87	GLICOSE 50% AMPOLA 10ML - SOLUCAO INJETAVEL	indiferente	0
89	HALOPERIDOL 5 MG/ML AMPOLA 1ML  (PORT. 344/98 - C1)	indiferente	0
90	HEPARINA SODICA ENDOVENOSA 5000 UIML FRASCO-AMPOLA 5ML - SO	indiferente	0
91	HEPARINA SODICA SUBCUTANEA 5000 UI025ML AMPOLA 025ML - SOLU	indiferente	0
94	HIDROCORTISONA 500MG	indiferente	0
95	HIDROXIUREIA 500MG	indiferente	0
98	IMUNOGLOBULINA ANTIMOCITOS HUMANOS (COELHO) 25 MG FRASCO AMPOLA 5 ML - PO LIOFILIZADO PARA SOLUCAO INJETAVEL	indiferente	0
99	IPRATROPIO 025MGML GOTAS 20ML	indiferente	0
102	LIDOCAINA 20MG GELEIA 30G	indiferente	0
106	LOSARTANA POTASSICA 50MG COMP	indiferente	0
107	MEROPENEM 1G FRASCO-AMPOLA - PO LIOFILIZADO	indiferente	0
111	MICAFUNGINA 50MG FRASCO-AMPOLA - PO LIOFILIZADO	indiferente	0
112	MIDAZOLAM 5MG/ML 10ML (PORTARIA 344/98 LISTA B1)	indiferente	0
112	MIDAZOLAM 5MGML 10ML	indiferente	0
113	MIDAZOLAM 5MGML 3ML	indiferente	0
114	MILRINONA 1 MG/ ML AMPOLA 10 ML - SOLUCAO INJETAVEL	indiferente	0
116	MORFINA 10MGML 1ML	indiferente	0
118	MOXIFLOXACINO 400MG250ML BOLSA - SOLUCAO INJETAVEL	indiferente	0
119	NALOXONA 0,4 MG/ML AMPOLA 1ML  (PORT. 344/98 - C1)	indiferente	0
121	NILOTINIB 200MG	indiferente	0
124	NOREPINEFRINA (HEMITARTARATO) 2MGML AMPOLA 4ML - SOLUCAO IN	indiferente	0
125	OCTREOTIDA 01MGML 1ML	indiferente	0
127	OMEPRAZOL 40MG FRASCO-AMPOLA - PO LIOFILIZADO	indiferente	0
129	OXACILINA 500MG FRASCO-AMPOLA - PO LIOFILIZADO	indiferente	0
131	PAMIDRONATO DISSODICO 90MG PÓ LIOFILIZADO PARA SOLUÇÃO INJETÁVEL FRASCO AMPOLA 10ML	indiferente	0
132	PANCURONIO 2MGML 2ML	indiferente	0
134	PARACETAMOL + CODEINA 500 MG + 30 MG COM (PORT. 344/98 - C1)	indiferente	0
135	PIPERACILINA 4G TAZOBACTAM 500MG FA	indiferente	0
138	PROPOFOL 10MG/ML FRASCO AMPOLA 20ML (PORT. 344/98 - C1)	indiferente	0
140	RITUXIMABE 100 MG	indiferente	0
141	RITUXIMABE 500 MG	indiferente	0
142	ROCURONIO 10 MG/ ML AMPOLA 5 ML - SOLUCAO INJETAVEL	indiferente	0
146	SOLUÇÃO DE GLICERINA 12% TUBO 500 ML - USO RETAL	indiferente	0
147	SOLUCAO DE GLICOSE 10% FRASCO 500ML - SISTEMA FECHADO	indiferente	0
148	SOLUCAO DE GLICOSE 5% FRASCO 100ML - SISTEMA FECHADO	indiferente	0
149	SOLUCAO DE GLICOSE 5% FRASCO 250ML - SISTEMA FECHADO	indiferente	0
150	SOLUCAO DE GLICOSE 5% FRASCO 500ML - SISTEMA FECHADO	indiferente	0
151	SOLUCAO DE GLICOSE 50% FRASCO 500ML - SISTEMA FECHADO	indiferente	0
152	MANITOL 20% FRASCO 250 ML - SOLUCAO INJETAVEL	indiferente	0
153	SOLUCAO DE RINGER LACTATO FRASCO 500 ML - SISTEMA FECHADO	indiferente	0
153	SOLUCAO DE RINGER LACTATO FRASCO 500ML - SISTEMA FECHADO	indiferente	0
154	SOLUCAO FISIOLOGICA 09% AMPOLA 10ML - SOLUCAO INJETAVEL	indiferente	0
155	CLORETO DE SODIO 0,9% FRASCO 1000 ML - SOLUCAO INJETAVEL	indiferente	0
156	CLORETO DE SODIO 0,9% FRASCO 100 ML - SOLUCAO INJETAVEL	indiferente	0
157	SOLUCAO FISIOLOGICA 09% FRASCO 250ML - SISTEMA FECHADO	indiferente	0
158	CLORETO DE SODIO 0,9% FRASCO 500 ML - SOLUCAO INJETAVEL	indiferente	0
161	SOLUCAO GLICOFISIOLOGICA 1:1 FRASCO 500ML - SISTEMA FECHADO	indiferente	0
163	SULFAMETOXAZOL +TRIMETOPRIMA 400MG+80MG, AMPOLA 5ML	indiferente	0
165	SULFATO DE MAGNESIO 50% 10ML	indiferente	0
166	SURFACTANTE PULMONAR 80 MG/ ML FRASCO AMPOLA 3 ML - SUSPENSÃO ESTÉRIL	indiferente	0
167	SUXAMETONIO 100 MG - PO LIOFILIZADO PARA SOLUCAO INJETAVEL	indiferente	0
168	TIGECICLINA 50 MG - PO LIOFILIZADO PARA SOLUCAO INJETAVEL	indiferente	0
170	VANCOMICINA 500 MG - PO LIOFILIZADO PARA SOLUCAO INJETAVEL	indiferente	0
172	VORICONAZOL 200 MG - PÓ LIOFILIZADO PARA SOLUÇÃO INJETÁVEL	indiferente	0
173	LAMINA PARA TRICOTOMIZADOR CIRURGICO	indiferente	0
180	LUVA PARA PROCEDIMENTO COM PÓ M (UNIDADE)	indiferente	0
181	LUVA PARA PROCEDIMENTO COM PÓ P (UNIDADE)	indiferente	0
182	LUVA PARA PROCEDIMENTO COM PÓ G (UNIDADE)	indiferente	0
188	ELETRODO DESCARTAVEL PARA MONITORIZAÇÃO CARDIACA ADULTO	indiferente	0
197	TUBO ENDOTRAQUEAL S/ BALAO 3,0	indiferente	0
199	TUBO ENDOTRAQUEAL S/ BALAO 5,5	indiferente	0
205	MASCARA DE VENTURI ADULTA	indiferente	0
211	EMBALAGEM PARA ACONDICIONAMENTO DE PRODUTOS A SEREM ESTERILIZADOS EM PAPEL GRAU CIRURGICO 100MM X 100M	indiferente	0
212	EMBALAGEM PARA ACONDICIONAMENTO DE PRODUTOS A SEREM ESTERILIZADOS EM PAPEL GRAU CIRURGICO 150MM X 100M	indiferente	0
213	EMBALAGEM PARA ACONDICIONAMENTO DE PRODUTOS A SEREM ESTERILIZADOS EM PAPEL GRAU CIRURGICO 200MM X 100M	indiferente	0
214	EMBALAGEM PARA ACONDICIONAMENTO DE PRODUTOS A SEREM ESTERILIZADOS EM PAPEL GRAU CIRURGICO 300MM X 100M	indiferente	0
215	CATETER NASAL TIPO OCULOS ADULTO	indiferente	0
218	CONTRASTE IODADO NAO-IONICO 300 MG/ ML FRASCO 50 ML - SOLUCAO INJETAVEL	indiferente	0
232	AGULHA DESCARTAVEL 13X4,5	indiferente	0
233	AGULHA DESCARTAVEL 30X07	indiferente	0
234	AGULHA DESCARTAVEL 40X12	indiferente	0
235	CATETER INTRAVENOSO PERIFERICO 16G	indiferente	0
236	AVENTAL DESCARTAVEL COM MANGA LONGA E ELASTICO NO PUNHO	indiferente	0
237	CATETER INTRAVENOSO PERIFERICO 18G	indiferente	0
238	CATETER INTRAVENOSO PERIFERICO 20G	indiferente	0
239	CATETER INTRAVENOSO PERIFERICO 22G	indiferente	0
240	CATETER INTRAVENOSO PERIFERICO 24G	indiferente	0
246	SERINGA DESCARTAVEL S/AGULHA BICO LUER SLIP 20ML	indiferente	0
247	SERINGA DESCARTAVEL S/AGULHA BICO LUER SLIP 10ML	indiferente	0
248	SERINGA DESCARTAVEL S/AGULHA BICO LUER LOCK 03ML	indiferente	0
254	SERINGA DESCARTAVEL S/AGULHA BICO LUER LOCK 05ML	indiferente	0
257	MASCARA RESPIRATORIA PARA PARTICULADOS (N95-PFF2 OU EQUIVALENTES) - MEDICA	indiferente	0
258	AGULHA DESCARTAVEL 25X12- PONTA ROMBA	indiferente	0
259	LENCOL DESCARTAVEL 2,50 X 1,60 M	indiferente	0
265	DIAZEPAM 5 MG/ ML AMPOLA 2 ML (PORT. 344/98 - B1)	indiferente	0
270	KIT DE SENSOR PARA MEDIDA CONTINUA DE DEBITO CARDIACO MINIMA	indiferente	0
271	TUBO ENDOTRAQUEAL S/ BALAO 2,5	indiferente	0
282	CATETER ACESSO VENOSO CENTRAL DUPLO LUMEN ADULTO 14/18G X 20CM (7FR)	indiferente	0
283	CATETER ACESSO VENOSO CENTRAL DUPLO LUMEN PEDIATRICO 22GA X 15CM (4FR)	indiferente	0
284	CATETER PARA ACESSO VENOSO CENTRAL ADULTO 14GA X 20CM APROXIMADAMENTE (8 FR) MONO LUMEN	indiferente	0
285	CATETER ACESSO VENOSO CENTRAL DUPLO LUMEN 18/20GA X 15CM (5FR)	indiferente	0
285	CATETER ACESSO VENOSO CENTRAL DUPLO LUMEN PEDIATRICO 18/20GA X 15CM (5FR)	indiferente	0
291	AGULHA DESCARTAVEL 25X07	indiferente	0
293	ALGODAO HIDROFILICO 500GR	indiferente	0
297	CATETER PARA OXIGENIO DESCARTAVEL N 06	indiferente	0
300	SOLUCAO DESINFETANTE DE SUPERFICIE CONTENDO MONOPERSULFATO DE POTASSIO - VIRKON	indiferente	0
301	SOLUCAO INDICADO PARA DESINFECCAO DE ARTIGOS MEDICOS E EQUIPAMENTOS ENDOSCOPIA - GLUTARALDEIDO 2% (LITRO)	indiferente	0
303	COLETOR DE URINA SISTEMA ABERTO ADULTO	indiferente	0
305	CATETER ACESSO VENOSO CENTRAL PERIFERICO 24 G X 19CM - PICC 1.9	indiferente	0
306	BROCA PONTA DIAMANTADA PARA ALTA ROTACAO FG 4137	indiferente	0
307	MASCARA DESCARTAVEL COM DISPOSITIVO DE AJUSTE NASAL E QUATRO TIRAS LATERAIS	indiferente	0
314	BROCA PONTA DIAMANTADA PARA ALTA ROTACAO FG 4123	indiferente	0
317	INDICADOR BIOLOGICO DE LEITURA RAPIDA DE TERCEIRA GERACAO- 3	indiferente	0
320	INDICADOR QUIMICO TIPO 2 (TESTE BOWIE  DICK)	indiferente	0
321	COMPRESSA TIPO CAMPO OPERATORIO 25 X 28 COM FIO RADIOPACO ESTERIL	indiferente	0
326	CARVEDILOL 3125MG	indiferente	0
328	LUVA CIRURGICA ESTERIL N° 7,0	indiferente	0
329	LUVA CIRURGICA ESTERIL N° 7,5	indiferente	0
330	LUVA CIRURGICA ESTERIL N° 8,0	indiferente	0
333	FITA HIPOALERGENICA MICROPOROSA 5CMX10M	indiferente	0
334	ATADURA DE CREPOM 15CM	indiferente	0
335	GAZE ACOLCHOADA ESTERIL 10X15CM	indiferente	0
337	SONDA PARA ASPIRAÇÃO TRAQUEAL N° 10	indiferente	0
338	SONDA PARA ASPIRACAO TRAQUEAL N 12 - BIOSANI (JUDICIAL)	indiferente	0
339	ESPARADRAPO IMPERMEAVEL 10CMX4,5M	indiferente	0
340	INDICADOR QUIMICO EXTERNO TIPO 1 - FITA TESTE AUTOCLAVE	indiferente	0
342	APLICADOR QUICK MMT 305 QS	indiferente	0
347	SERINGA DESCARTAVEL S/AGULHA BICO LUER LOCK 60ML	indiferente	0
365	CADARCO SARJADO 90% ALGODAO10%POLIESTER	indiferente	0
387	FRASCO PARA DIETA ENTERAL 300ML	indiferente	0
390	EQUIPO MACROGOTAS PARA DIETA ENTERAL	indiferente	0
396	SONDA PARA ASPIRAÇÃO TRAQUEAL N° 08	indiferente	0
399	ONDANSETRONA 2 MG/ ML AMPOLA 4 ML - SOLUÇÃO INJETÁVEL	indiferente	0
404	HEMOSTATICO ESPONJA GELATINOSA ABSORVIVEL EM PO - 1GR	indiferente	0
405	HEMOSTATICO DE CELULOSE TELA ABSORVIVEL 25CMX51CM	indiferente	0
406	HEMOSTATICO DE CELULOSE TELA ABSORVIVEL 51CMX102CM	indiferente	0
407	EQUIPO MACROGOTAS PARA SORO	indiferente	0
408	TORNEIRA DE 3 VIAS	indiferente	0
410	FILTRO DE VEIA CAVA EM ACO INOXIDAVEL	indiferente	0
418	FRALDA DESCARTAVEL PEDIATRICA PEQUENA 3 A 5KG	indiferente	0
419	FRALDA DESCARTAVEL PEDIATRICA MEDIA 5 A 10KG	indiferente	0
420	FRALDA DESCARTAVEL PEDIATRICA GRANDE 9 A 13KG	indiferente	0
424	SONDA FOLEY SILICONE 02 VIAS C/BALAO N° 14	indiferente	0
425	SONDA FOLEY SILICONE 02 VIAS C/BALÃO N° 16	indiferente	0
426	SONDA FOLEY SILICONE 02 VIAS C/BALÃO N° 18	indiferente	0
430	TELA SINTETICA BIO-COMPATIVEL 30CM X 30CM	indiferente	0
431	TELA SINTETICA BIO-COMPATIVEL 15CMX15CM	indiferente	0
434	SERINGA DESCARTAVEL S/AGULHA BICO LUER SLIP 01ML	indiferente	0
435	OXALIPLATINA 50MG - PÓ LIOFILIZADO - FRASCO AMPOLA	indiferente	0
436	DISPOSITIVO PARA OCLUSAO DE CONEXOES CONE LUER (PROTETOR TIPO TAMPA)	indiferente	0
437	DISPOSITIVO TRANSFERENCIA DE SOLUCOES PARENTERAIS (DUPLA PONTA)	indiferente	0
440	CAPECITABINA 500MG	indiferente	0
441	FLUDARABINA (FOSFATO) 50MG PÓ LIOFILIZADO PARA SOLUÇÃO INJETÁVEL	indiferente	0
442	EMBALAGEM PARA ACONDICIONAMENTO DE PRODUTOS A SEREM ESTERILIZADOS EM PAPEL GRAU CIRURGICO 250MM X 100M	indiferente	0
449	TELA DE POLIPROPILENO PARA HERNIA 55 X125CM -PHSE1	indiferente	0
452	IRINOTECANO 100MG	indiferente	0
455	GRAMPEADOR CIRURGICO 5MM (LAPAROSCOPICO) 12 A 20 GRAMPOS	indiferente	0
456	GRAMPEADOR CIRURGICO 5MM (LAPAROSCOPICO) 25 A 40 GRAMPOS	indiferente	0
457	SONDA PARA ASPIRACAO TRAQUEAL N 06	indiferente	0
458	GENCITABINA 1000 MG - PÓ LIOFILIZADO PARA SOLUÇÃO INJETÁVEL	indiferente	0
460	FITA ADESIVA BRANCA PARA USO HOSPITALAR 25MM X 50M	indiferente	0
462	TESOURA COAGULADORA BIPOLAR AVANÇADA CURVA DE DIAMETRO DE 5MM E A HASTE DE 14 ATE 45CM	indiferente	0
463	PILHA PARA BOMBA DE INSULINA SPIRIT COMBO	indiferente	0
467	FLUORURACILA 2,5G  (50MG/ML)- FRASCO AMPOLA 50ML	indiferente	0
475	IRINOTECANO 40MG	indiferente	0
476	GENCITABINA 200MG PO LIOFILIZADO PARA SOLUÇÃO INJETÁVEL	indiferente	0
477	PROTETOR DE CABELO FEMININO COM ELASTICO (TOUCA)	indiferente	0
478	TOPOTECANA (CLORIDRATO), 4MG, PO LIOFILIZADO PARA SOLUCAO INJETAVEL, FRASCO AMPOLA, UNIDADE 1.0	indiferente	0
486	PECA DE MAO COMPATIVEL COM O GERADOR DE TESOURA COAGULADORA	indiferente	0
499	SONDA PARA ASPIRAÇÃO TRAQUEAL N° 04	indiferente	0
500	SONDA PARA ASPIRACAO TRAQUEAL N 14	indiferente	0
501	SONDA PARA ASPIRACAO TRAQUEAL N 16	indiferente	0
506	SONDA DE FOLEY 2 VIAS N 12 - LATEX	indiferente	0
508	SONDA DE FOLEY 2 VIAS N 16 EM LATEX	indiferente	0
511	BROCA DE ACO CARBONO BAIXA ROTACAO N9 ESFERICA CARBIDE	indiferente	0
522	EQUIPO PARA SORO MICROGOTAS	indiferente	0
524	ESFIGNOMANOMETRO ADULTO	indiferente	0
537	EXTENSOR DE 2 V - 20CM	indiferente	0
543	CIMENTO DE ZINCO LIQUIDO 10 ML	indiferente	0
544	LUVA CIRURGICA ESTERIL N° 6,5	indiferente	0
546	CIMENTO DE ZINCO PO 28G 1 CLARO	indiferente	0
548	LUVA PARA PROCEDIMENTO ESTERIL P (UNIDADE)	indiferente	0
549	LUVA PARA PROCEDIMENTO ESTERIL M (UNIDADE)	indiferente	0
550	LUVA PARA PROCEDIMENTO ESTERIL G (UNIDADE)	indiferente	0
552	OCULOS DE PROTEÇÃO	indiferente	0
556	SONDA ESTOMACAL (NASOGASTRICA) LONGA N 14	indiferente	0
557	SONDA ESTOMACAL (NASOGASTRICA) LONGA N°16	indiferente	0
559	TERMOMETRO DIGITAL	indiferente	0
567	SONDA FOLEY LATEX 02 VIAS C/BALÃO N° 22	indiferente	0
572	SISTEMA DE TRANSMISSAO MINILINK MMT 7774 RA	indiferente	0
574	TAMOXIFENO 20 MG	indiferente	0
582	ACIDO ALL-TRANS-RETINOICO 10 MG (TRETINOINA) (PORT. 344/98 - C2)	indiferente	0
582	ACIDO ALL-TRANS-RETINOICO 10MG (TRETINOINA)	indiferente	0
591	ÁCIDO FOLÍNICO (FOLINATO DE CÁLCIO) 15 MG - COMPRIMIDO	indiferente	0
592	ACIDO FOLINICO 50 MG	indiferente	0
601	ACIDO VALPROICO 500 MG COMP (PORT. 344/98 - C1)	indiferente	0
602	ACIDO VALPROICO 250MG 5ML XAROPE  (PORT. 344/98 - C1)	indiferente	0
605	ÁGUA DESTILADA FRASCO 100 ML - SOLUÇÃO INJETÁVEL	indiferente	0
606	ÁGUA DESTILADA FRASCO 1000 ML - SOLUÇÃO INJETÁVEL	indiferente	0
617	ALPRAZOLAM 2MG COMP (PORT. 344/98 - B1)	indiferente	0
618	ALPROSTADIL 500 MCG/ ML AMPOLA 1 ML - SOLUÇÃO INJETÁVEL	indiferente	0
626	AMIODARONA 200 MG COMPRIMIDO	indiferente	0
627	AMIODARONA 100MG	indiferente	0
628	AMITRIPTILINA 25 MG COMPRIMIDO  (PORT. 344/98 - C1)	indiferente	0
637	ANASTROZOL 1MG	indiferente	0
644	ANLODIPINO 5MG	indiferente	0
647	ATORVASTATINA 10MG	indiferente	0
648	ATORVASTATINA 20MG	indiferente	0
649	ATORVASTATINA 40MG	indiferente	0
652	AZATIOPRINA 50MG	indiferente	0
653	AZITROMICINA 500 MG	indiferente	0
653	AZITROMICINA 500MG	indiferente	0
658	BACLOFENO 10MG	indiferente	0
660	BASILIXIMABE 20 MG - PÓ LIOFILIZADO PARA SOLUÇÃO INJETÁVEL	indiferente	0
661	BECLOMETASONA 400MCGML FLAC 2ML	indiferente	0
671	BICALUTAMIDA 50MG	indiferente	0
676	HEMIFUMARATO DE BISOPROLOL 25 MG	indiferente	0
677	BLEOMICINA (SULFATO) 15 U	indiferente	0
680	BROMAZEPAM 3MG  (PORT. 344/98 - C1)	indiferente	0
681	BROMETO DE TIOTROPIO 2,5MCG	indiferente	0
691	BUDESONIDA 400 MCG FORMOTEROL 12 MCG- CAPSULA	indiferente	0
695	BUPROPIONA CLORIDRATO 150 MG COMP (PORT. 344/98 - C1)	indiferente	0
696	CABERGOLINA 05MG	indiferente	0
700	CALCITRIOL 025MCG	indiferente	0
707	CARBAMAZEPINA 200 MG COMP (PORT. 344/98 - C1)	indiferente	0
708	CARBAMAZEPINA 20 MG/ML FRASCO 100 ML SUSP ORAL (PORT. 344/98 - C1)	indiferente	0
711	CARBONATO DE LITIO 300 MG COMP  (PORT. 344/98 - C1)	indiferente	0
712	CARBOPLATINA 10 MG/ ML FRASCO AMPOLA 15 ML - SOLUÇÃO INJETÁVEL	indiferente	0
715	CARVEDILOL 6,25 MG	indiferente	0
716	CARVEDILOL 25MG	indiferente	0
717	CARMELOSE SODICA 05% SOL OFTALMICA (ALLERGAN)	indiferente	0
720	SELADORA AUTOMATICA LOOK MODELO SRN01 (AMCOR)	indiferente	0
723	CEFTRIAXONA SÓDICA 1G IM + DILUENTE DE LIDOCAÍNA 3,5 ML	indiferente	0
732	CICLOFOSFAMIDA 1G	indiferente	0
733	CICLOFOSFAMIDA 200 MG FRASCO AMPOLA 20 ML - PÓ PARA SOLUÇÃO INJETÁVEL	indiferente	0
734	CICLOFOSFAMIDA 50 MG - COMPRIMIDO REVESTIDO DE LIBERAÇÃO RETARDADA	indiferente	0
738	CICLOSPORINA 100MGML SOLUCAO ORAL	indiferente	0
739	CICLOSPORINA 25MG	indiferente	0
740	CICLOSPORINA 50MG	indiferente	0
745	CIPROFIBRATO 100MG	indiferente	0
746	CISPLATINA 50MG	indiferente	0
747	CILOSTAZOL 100MG	indiferente	0
748	CITALOPRAM 20 MG COMP  (PORT. 344/98 - C1)	indiferente	0
749	CITARABINA 100 MG/ ML FRASCO AMPOLA 10 ML - SOLUÇÃO INJETÁVEL	indiferente	0
750	CITARABINA, 100MG/ML, SOLUÇÃO INJETÁVEL FRASCO AMPOLA 5ML	indiferente	0
751	CLADRIBINA 1MGML 8ML	indiferente	0
752	CLARITROMICINA 500MG	indiferente	0
756	CLOBAZAM 10MG COMP  (PORT. 344/98 - B1)(judicial)	indiferente	0
757	CLOBAZAM 20 MG COMP (URBANIL) (PORT. 344/98 - B1)	indiferente	0
761	CLOMIPRAMINA 25 MG COMP (PORT. 344/98 - C1)	indiferente	0
762	CLOMIPRAMINA 75 MG COMP ( (PORT. 344/98 - C1)	indiferente	0
763	CLONAZEPAM 0,5 MG COMP (PORT. 344/98 - B1)	indiferente	0
764	CLONAZEPAM 2 MG COMP (PORT. 344/98 - B1)	indiferente	0
764	CLONAZEPAM 2MG COMP. (PORT. 344/98 - B1)	indiferente	0
765	CLONAZEPAM 2,5 MG/ ML FRASCO 20 ML - SOLUCAO ORAL  (PORT. 344/98 - C1)	indiferente	0
766	CLOPIDOGREL 75MG	indiferente	0
767	CLORAMBUCILA  2MG (COMPRIMIDO REVESTIDO)	indiferente	0
775	CLORPROMAZINA 25 MG COMP (PORT. 344/98 - C1)	indiferente	0
781	CLOZAPINA 100 MG COMP (LEPONEX) (PORT. 344/98 - C1)	indiferente	0
783	CODEINA 30 MG COMP  (PORT. 344/98 - A2)	indiferente	0
787	COLAGENASE 06UI CR 30G	indiferente	0
792	COMPLEXO PROTROMBINICO HUMANO FATORES IIVIIIXX 500UI FRASCO	indiferente	0
799	DAUNORRUBICINA 20MG	indiferente	0
800	DASATINIBE 100MG	indiferente	0
801	DASATINIBE 20MG	indiferente	0
803	DESMOPRESSINA (ACETATO) 0,1MGML SPRAY NASAL 2,5ML	indiferente	0
806	DESVENLAFAXINA 50 MG COMP	indiferente	0
814	DEXRAZOXANO (CLORIDRATO), 500MG, PÓ LIOFILIZADO FRASCO-AMPOLA	indiferente	0
818	DIAZEPAM 5 MG COMP  (PORT. 344/98 - B1)	indiferente	0
828	DIGOXINA 0,25MG	indiferente	0
834	DOCETAXEL 20MG	indiferente	0
835	DOCETAXEL 80MG	indiferente	0
836	DOMPERIDONA 1MGML SUSPENSAO ORAL	indiferente	0
837	DOMPERIDONA 10MG	indiferente	0
838	DOXAZOSINA 2MG	indiferente	0
840	DOXORRUBICINA(CLORIDRATO) 10MG, PÓ LIOFILIZADO PARA SOLUÇÃO INJETÁVEL	indiferente	0
841	DORZOLAMIDA CLORIDRATO 20 MG/ML SOLUCAO OFTALMICA	indiferente	0
842	DOXORRUBICINA 50MG	indiferente	0
